PDB,Ligand,Chain,Number,Resolution(A),Ligand Occupation Factor,Ki(M),log(Ki),pKi,RMSD(A),Torsions,Q,Average Q,Ligand B-factor(A2),Receptor B-factor(A2),B-factor ratio (Ligand/Receptor),C,N,O,P,S,F,Cl,Br,Affinity(kcal/mol),Gauss 1,Gauss 2,Repulsion,Hydrophobic,Hydrogen,Torsional
4FKO,20K,A,301,1.55,1.00,1.00e-07,-7.0,7.0,ND,4,-0.9679999999999999,-0.040333333333333325,0.0,29.878985976267543,0.0,18,5,0,0,1,0,0,0,-8.916,78.972,1387.695,1.53,37.868,0.875,0.6989700043360189
4FKL,CK2,A,300,1.26,1.00,3.96e-07,-6.402304814,6.402304814,ND,1,-0.649,-0.04635714285714286,0.0,17.01122355430181,0.0,9,4,0,0,1,0,0,0,-5.239,45.572,808.09,1.62,10.583,0.813,0.3010299956639812
4EK8,16K,A,301,1.70,1.00,1.1e-07,-6.958607314,6.958607314,ND,4,-0.7669999999999999,-0.033347826086956515,0.0,30.713923865300067,0.0,15,5,2,0,1,0,0,0,-8.055,86.694,1313.234,2.412,33.526,0.83,0.6989700043360189
3SW4,18K,A,299,1.70,1.00,7.0e-07,-6.154901959,6.154901959,ND,4,-1.258,-0.05469565217391304,0.0,27.043385913426274,0.0,16,6,0,0,1,0,0,0,-8.505,78.937,1300.848,1.467,34.826,0.935,0.6989700043360189
3DDQ,RRC,A,299,1.8,1.0,2.5e-07,-6.602059991,6.602059991,ND,9,1.0,0.03125,14.230937500000001,21.581254681648044,0.659411962368504,19,6,1,0,0,0,0,0,-7.616,85.555,1412.306,2.125,51.835,0.999,1.0
5D1J,56H,A,4000,1.8,1.00,3.8e-8,-7.420216403,7.420216403,ND,6,0.9990000000000002,0.03330000000000001,29.588000000000008,35.102314597970356,0.8429073791535904,17,4,2,0,2,0,0,0,-7.471,83.284,1333.345,1.775,21.377,0.994,0.8450980400142568
2TMN,0FA,E,322,1.6,1.0,1.3e-06,-5.886056647693163,5.886056647693163,ND,5,-1.5010000000000001,-0.09381250000000001,11.895624999999999,16.27271140939594,0.7310167740780685,6,2,4,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7781512503836436
7GCH,LPF,G,246,1.8,1.0,2e-06,-5.698970004336019,5.698970004336019,ND,14,0.0,0.0,18.77,12.949943609022606,1.4494271609740748,0,0,0,0,0,1,0,0,-0.349,3.191,44.191,0.004,0.0,0.0,1.1760912590556813
2GST,GPS,A,220,1.8,1.0,8.499999999999999e-07,-6.070581074285707,6.070581074285707,ND,13,-0.9980000000000002,-0.02434146341463415,12.080243902439024,17.16591318038688,0.7037344168932097,24,3,7,0,1,0,0,0,-8.103,121.202,1622.99,7.858,41.389,9.886,1.146128035678238
1PPM,0P1,E,324,1.7,1.0,1.6000000000000001e-06,-5.795880017344075,5.795880017344075,ND,17,-0.9990000000000009,-0.02220000000000002,15.062000000000005,13.389306620209064,1.124927558030994,29,3,9,1,0,0,0,0,-7.994,129.769,1871.276,4.812,57.442,5.462,1.255272505103306
1PPL,1Z7,E,324,1.7,1.0,2.8e-09,-8.55284196865778,8.55284196865778,ND,18,-0.9990000000000003,-0.022200000000000008,7.724666666666669,9.724010452961657,0.7943910286844617,30,3,8,1,0,0,0,0,-7.767,129.929,1879.345,4.763,62.801,4.986,1.2787536009528289
2CTC,HFA,A,309,1.4,1.0,0.00013000000000000002,-3.886056647693163,3.886056647693163,ND,3,-0.999,-0.08325,17.77916666666667,17.395315013404854,1.0220663812621973,9,0,3,0,0,0,0,0,-5.294,49.849,781.469,3.914,28.336,4.108,0.6020599913279624
1CIL,ETS,A,263,1.6,1.0,3.7e-10,-9.431798275933005,9.431798275933005,ND,4,1.0,0.043478260869565216,6.7995652173913035,12.86204114562327,0.5286536670507448,10,2,4,0,3,0,0,0,-6.997,57.037,938.744,1.819,14.209,3.937,0.6989700043360189
1THL,0DB,A,320,1.7,1.0,3.7999999999999996e-07,-6.42021640338319,6.42021640338319,ND,11,-2.0,-0.05405405405405406,15.73405405405405,15.633087248322127,1.0064585327343298,28,2,5,0,0,0,0,0,-6.516,87.211,1384.564,3.508,36.181,3.056,1.0791812460476249
1TNH,FBA,A,900,1.8,1.0,0.00043,-3.3665315444204134,3.3665315444204134,ND,2,1.002,0.0835,18.503333333333334,16.697694223107575,1.1081370329399716,7,1,0,0,0,1,0,0,-4.749,47.194,547.971,1.647,3.64,2.925,0.47712125471966244
1PPC,MID,E,5,1.8,1.0,6.9e-07,-6.161150909262744,6.161150909262744,ND,10,-0.001000000000000112,-2.3255813953490976e-05,18.01325581395348,13.233137450199223,1.361223359293551,27,5,4,0,1,0,0,0,-8.131,104.835,1457.21,4.132,34.456,5.589,1.041392685158225
